league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1630154'}",on_off,1611661330,1630154,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1630154__77b081c9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1630154,200,0,2pt FGM Assist%,0.500,0.628,-0.128,False,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1630154'}",on_off,1611661330,1630154,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1630154__77b081c9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1630154,200,1,Non Putback 2pt FGM Assist%,0.500,0.678,-0.178,False,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1630154'}",on_off,1611661330,1630154,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1630154__77b081c9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1630154,200,2,3pt FGM Assist%,1.000,0.893,0.107,False,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1630154'}",on_off,1611661330,1630154,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1630154__77b081c9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1630154,200,3,3pt FG%,0.500,0.337,0.163,False,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1630154'}",on_off,1611661330,1630154,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1630154__77b081c9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1630154,200,4,Non-Heave 3pt FG%,0.500,0.341,0.159,False,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1630154'}",on_off,1611661330,1630154,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1630154__77b081c9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1630154,200,5,2pt FG%,0.500,0.520,-0.020,False,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1630154'}",on_off,1611661330,1630154,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1630154__77b081c9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1630154,200,6,eFG%,0.583,0.514,0.070,False,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1630154'}",on_off,1611661330,1630154,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1630154__77b081c9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1630154,200,7,TS%,0.583,0.553,0.030,False,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1630154'}",on_off,1611661330,1630154,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1630154__77b081c9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1630154,200,8,3PAr,0.333,0.418,-0.085,False,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1630154'}",on_off,1611661330,1630154,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1630154__77b081c9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1630154,200,9,% of FG3A Blocked,0.500,0.006,0.494,False,team_on_off
