league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2023,Regular Season,team,"{'Season': '2023', 'SeasonType': 'Regular Season', 'TeamId': '1611661325', 'PlayerId': '1631031'}",on_off,1611661325,1631031,get-on-off__team_on_off__season-2023__season_type-Regular_Season__team_id-1611661325__player_id-1631031__62982bc7,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2023&SeasonType=Regular+Season&TeamId=1611661325&PlayerId=1631031,200,0,2pt FGM Assist%,0.487,0.528,-0.041
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2023,Regular Season,team,"{'Season': '2023', 'SeasonType': 'Regular Season', 'TeamId': '1611661325', 'PlayerId': '1631031'}",on_off,1611661325,1631031,get-on-off__team_on_off__season-2023__season_type-Regular_Season__team_id-1611661325__player_id-1631031__62982bc7,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2023&SeasonType=Regular+Season&TeamId=1611661325&PlayerId=1631031,200,1,Non Putback 2pt FGM Assist%,0.544,0.579,-0.035
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2023,Regular Season,team,"{'Season': '2023', 'SeasonType': 'Regular Season', 'TeamId': '1611661325', 'PlayerId': '1631031'}",on_off,1611661325,1631031,get-on-off__team_on_off__season-2023__season_type-Regular_Season__team_id-1611661325__player_id-1631031__62982bc7,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2023&SeasonType=Regular+Season&TeamId=1611661325&PlayerId=1631031,200,2,3pt FGM Assist%,0.706,0.857,-0.151
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2023,Regular Season,team,"{'Season': '2023', 'SeasonType': 'Regular Season', 'TeamId': '1611661325', 'PlayerId': '1631031'}",on_off,1611661325,1631031,get-on-off__team_on_off__season-2023__season_type-Regular_Season__team_id-1611661325__player_id-1631031__62982bc7,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2023&SeasonType=Regular+Season&TeamId=1611661325&PlayerId=1631031,200,3,3pt FG%,0.243,0.350,-0.107
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2023,Regular Season,team,"{'Season': '2023', 'SeasonType': 'Regular Season', 'TeamId': '1611661325', 'PlayerId': '1631031'}",on_off,1611661325,1631031,get-on-off__team_on_off__season-2023__season_type-Regular_Season__team_id-1611661325__player_id-1631031__62982bc7,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2023&SeasonType=Regular+Season&TeamId=1611661325&PlayerId=1631031,200,4,Non-Heave 3pt FG%,0.246,0.351,-0.105
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2023,Regular Season,team,"{'Season': '2023', 'SeasonType': 'Regular Season', 'TeamId': '1611661325', 'PlayerId': '1631031'}",on_off,1611661325,1631031,get-on-off__team_on_off__season-2023__season_type-Regular_Season__team_id-1611661325__player_id-1631031__62982bc7,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2023&SeasonType=Regular+Season&TeamId=1611661325&PlayerId=1631031,200,5,2pt FG%,0.432,0.489,-0.057
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2023,Regular Season,team,"{'Season': '2023', 'SeasonType': 'Regular Season', 'TeamId': '1611661325', 'PlayerId': '1631031'}",on_off,1611661325,1631031,get-on-off__team_on_off__season-2023__season_type-Regular_Season__team_id-1611661325__player_id-1631031__62982bc7,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2023&SeasonType=Regular+Season&TeamId=1611661325&PlayerId=1631031,200,6,eFG%,0.413,0.499,-0.087
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2023,Regular Season,team,"{'Season': '2023', 'SeasonType': 'Regular Season', 'TeamId': '1611661325', 'PlayerId': '1631031'}",on_off,1611661325,1631031,get-on-off__team_on_off__season-2023__season_type-Regular_Season__team_id-1611661325__player_id-1631031__62982bc7,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2023&SeasonType=Regular+Season&TeamId=1611661325&PlayerId=1631031,200,7,TS%,0.454,0.537,-0.083
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2023,Regular Season,team,"{'Season': '2023', 'SeasonType': 'Regular Season', 'TeamId': '1611661325', 'PlayerId': '1631031'}",on_off,1611661325,1631031,get-on-off__team_on_off__season-2023__season_type-Regular_Season__team_id-1611661325__player_id-1631031__62982bc7,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2023&SeasonType=Regular+Season&TeamId=1611661325&PlayerId=1631031,200,8,3PAr,0.285,0.290,-0.006
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2023,Regular Season,team,"{'Season': '2023', 'SeasonType': 'Regular Season', 'TeamId': '1611661325', 'PlayerId': '1631031'}",on_off,1611661325,1631031,get-on-off__team_on_off__season-2023__season_type-Regular_Season__team_id-1611661325__player_id-1631031__62982bc7,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2023&SeasonType=Regular+Season&TeamId=1611661325&PlayerId=1631031,200,9,% of FG3A Blocked,0.014,0.010,0.005
