league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661313', 'PlayerId': '1627673'}",on_off,1611661313,1627673,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627673__ef8de744,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627673,200,0,2pt FGM Assist%,0.664,0.637,0.027
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661313', 'PlayerId': '1627673'}",on_off,1611661313,1627673,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627673__ef8de744,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627673,200,1,Non Putback 2pt FGM Assist%,0.702,0.679,0.023
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661313', 'PlayerId': '1627673'}",on_off,1611661313,1627673,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627673__ef8de744,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627673,200,2,3pt FGM Assist%,0.925,0.867,0.058
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661313', 'PlayerId': '1627673'}",on_off,1611661313,1627673,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627673__ef8de744,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627673,200,3,3pt FG%,0.356,0.330,0.026
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661313', 'PlayerId': '1627673'}",on_off,1611661313,1627673,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627673__ef8de744,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627673,200,4,Non-Heave 3pt FG%,0.356,0.331,0.025
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661313', 'PlayerId': '1627673'}",on_off,1611661313,1627673,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627673__ef8de744,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627673,200,5,2pt FG%,0.534,0.486,0.048
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661313', 'PlayerId': '1627673'}",on_off,1611661313,1627673,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627673__ef8de744,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627673,200,6,eFG%,0.534,0.490,0.044
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661313', 'PlayerId': '1627673'}",on_off,1611661313,1627673,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627673__ef8de744,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627673,200,7,TS%,0.570,0.529,0.041
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661313', 'PlayerId': '1627673'}",on_off,1611661313,1627673,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627673__ef8de744,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627673,200,8,3PAr,0.435,0.390,0.045
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661313', 'PlayerId': '1627673'}",on_off,1611661313,1627673,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627673__ef8de744,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627673,200,9,% of FG3A Blocked,0.008,0.013,-0.005
