league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2026,Regular Season,team,"{'Season': '2026', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'PlayerId': '203398'}",on_off,1611661323,203398,get-on-off__team_on_off__season-2026__season_type-Regular_Season__team_id-1611661323__player_id-203398__7b529524,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2026&SeasonType=Regular+Season&TeamId=1611661323&PlayerId=203398,200,0,2pt FGM Assist%,0.647,0.467,0.180
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2026,Regular Season,team,"{'Season': '2026', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'PlayerId': '203398'}",on_off,1611661323,203398,get-on-off__team_on_off__season-2026__season_type-Regular_Season__team_id-1611661323__player_id-203398__7b529524,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2026&SeasonType=Regular+Season&TeamId=1611661323&PlayerId=203398,200,1,Non Putback 2pt FGM Assist%,0.733,0.467,0.267
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2026,Regular Season,team,"{'Season': '2026', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'PlayerId': '203398'}",on_off,1611661323,203398,get-on-off__team_on_off__season-2026__season_type-Regular_Season__team_id-1611661323__player_id-203398__7b529524,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2026&SeasonType=Regular+Season&TeamId=1611661323&PlayerId=203398,200,2,3pt FGM Assist%,0.833,0.833,0.000
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2026,Regular Season,team,"{'Season': '2026', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'PlayerId': '203398'}",on_off,1611661323,203398,get-on-off__team_on_off__season-2026__season_type-Regular_Season__team_id-1611661323__player_id-203398__7b529524,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2026&SeasonType=Regular+Season&TeamId=1611661323&PlayerId=203398,200,3,3pt FG%,0.194,0.429,-0.235
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2026,Regular Season,team,"{'Season': '2026', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'PlayerId': '203398'}",on_off,1611661323,203398,get-on-off__team_on_off__season-2026__season_type-Regular_Season__team_id-1611661323__player_id-203398__7b529524,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2026&SeasonType=Regular+Season&TeamId=1611661323&PlayerId=203398,200,4,Non-Heave 3pt FG%,0.194,0.429,-0.235
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2026,Regular Season,team,"{'Season': '2026', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'PlayerId': '203398'}",on_off,1611661323,203398,get-on-off__team_on_off__season-2026__season_type-Regular_Season__team_id-1611661323__player_id-203398__7b529524,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2026&SeasonType=Regular+Season&TeamId=1611661323&PlayerId=203398,200,5,2pt FG%,0.425,0.484,-0.059
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2026,Regular Season,team,"{'Season': '2026', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'PlayerId': '203398'}",on_off,1611661323,203398,get-on-off__team_on_off__season-2026__season_type-Regular_Season__team_id-1611661323__player_id-203398__7b529524,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2026&SeasonType=Regular+Season&TeamId=1611661323&PlayerId=203398,200,6,eFG%,0.387,0.533,-0.146
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2026,Regular Season,team,"{'Season': '2026', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'PlayerId': '203398'}",on_off,1611661323,203398,get-on-off__team_on_off__season-2026__season_type-Regular_Season__team_id-1611661323__player_id-203398__7b529524,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2026&SeasonType=Regular+Season&TeamId=1611661323&PlayerId=203398,200,7,TS%,0.418,0.530,-0.112
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2026,Regular Season,team,"{'Season': '2026', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'PlayerId': '203398'}",on_off,1611661323,203398,get-on-off__team_on_off__season-2026__season_type-Regular_Season__team_id-1611661323__player_id-203398__7b529524,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2026&SeasonType=Regular+Season&TeamId=1611661323&PlayerId=203398,200,8,3PAr,0.279,0.311,-0.032
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2026,Regular Season,team,"{'Season': '2026', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'PlayerId': '203398'}",on_off,1611661323,203398,get-on-off__team_on_off__season-2026__season_type-Regular_Season__team_id-1611661323__player_id-203398__7b529524,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2026&SeasonType=Regular+Season&TeamId=1611661323&PlayerId=203398,200,9,% of FG3A Blocked,0.000,0.000,0.000
