league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y,is_playoffs,job_variant,window_label,request_scope
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,0,,,,,,False,1611661327,73.0,555,2026-05-12,1022600014,1627668-1627673-1629546-1631136-204335,False,PDX,1629524-1630143-1631083-1642304-1642782,,,,,,1611661313,4,Marine Johannes,1629546,32,01:33,0,,0,,1627668,Breanna Stewart,1631083,Emily Engstler,False,0,,23.9,0.3083,78.0,Arc3,3,93.0,OffLiveBallTurnover,NYL,01:18,,20,238,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,1,,,,,,False,1611661327,259.0,513,2026-05-12,1022600014,1627668-1627673-1629546-1642210-203822,False,PDX,1629484-1629524-1641650-1642304-1642782,,,,,,1611661313,4,Breanna Stewart,1627668,22,04:47,0,,1629484,Megan Gustafson,0,,0,,False,0,,14.4,0.3521,262.0,LongMidRange,2,287.0,OffShortMidRangeMake,NYL,04:22,,31,141,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,2,,,,,,False,1611661327,296.0,509,2026-05-12,1022600014,1627668-1627673-1629546-1642210-203822,False,PDX,1629484-1629524-1641650-1642304-1642782,,,,,,1611661313,4,Jonquel Jones,1627673,20,05:06,0,,0,,1629546,Marine Johannes,1642304,Carla Leite,False,2,,24.5,0.349,300.0,Arc3,3,306.0,OffLiveBallTurnover,NYL,05:00,,61,237,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,3,,,,,,False,1611661327,317.0,505,2026-05-12,1022600014,1627668-1627673-1629546-1642210-203822,False,PDX,1629484-1629524-1641650-1642304-1642782,,,,,,1611661313,4,Jonquel Jones,1627673,18,05:44,0,,1642304,Carla Leite,0,,0,,False,2,,2.3,0.5036,319.0,AtRim,2,344.0,OffShortMidRangeMake,NYL,05:19,,16,17,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,4,,,,,,False,1611661327,480.0,466,2026-05-12,1022600014,1627668-1627673-1629546-1631136-203822,False,PDX,1629524-1630143-1630154-1641650-1642296,,,,,,1611661313,4,Marine Johannes,1629546,8,08:23,0,,0,,0,,0,,False,4,,23.8,0.3192,487.0,Arc3,3,503.0,OffFTMake,NYL,08:07,,-39,235,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,5,,,,,,False,1611661327,180.0,389,2026-05-12,1022600014,1627668-1627673-1629546-1642210-203822,False,PDX,1629484-1629524-1642296-1642304-1643494,,,,,,1611661313,3,Rebekah Gardner,203822,25,03:17,0,,0,,0,,0,,False,4,,23.6,0.3826,185.0,Corner3,3,197.0,OffFTMake,NYL,03:05,,-232,42,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,6,,,,,,False,1611661327,325.0,353,2026-05-12,1022600014,1627668-1627673-1629546-1631136-203822,False,PDX,1629524-1630143-1630154-1631083-1642782,,,,,,1611661313,3,Breanna Stewart,1627668,17,05:33,0,,0,,1629546,Marine Johannes,1642782,Sarah Ashlee Barker,False,1,,24.5,0.4233,328.0,Arc3,3,333.0,OffLiveBallTurnover,NYL,05:28,,173,173,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,7,,,,,,False,1611661327,377.0,336,2026-05-12,1022600014,1627668-1627673-1629546-1631136-204335,False,PDX,1629524-1630143-1631083-1642296-1642304,,,,,,1611661313,3,Betnijah Laney-Hamilton,204335,13,06:49,0,,1630143,Luisa Geiselsoder,0,,0,,False,-1,,23.9,0.3463,386.0,Arc3,3,409.0,OffArc3Make,NYL,06:26,,-211,113,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,8,,,,,,False,1611661327,483.0,320,2026-05-12,1022600014,1627668-1627673-1629546-1631136-204335,False,PDX,1629524-1630143-1631083-1642296-1642304,,,,,,1611661313,3,Betnijah Laney-Hamilton,204335,7,08:26,0,,1629524,Bridget Carleton,0,,0,,False,5,,24.3,0.3619,485.0,Corner3,3,506.0,OffShortMidRangeMake,NYL,08:05,,-239,42,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,9,,,,,,False,1611661327,515.0,317,2026-05-12,1022600014,1627668-1627673-1629546-1631136-204335,False,PDX,1629524-1630143-1631083-1642296-1642304,,,,,,1611661313,3,Pauline Astier,1631136,5,08:45,1631136,Pauline Astier,1642304,Carla Leite,0,,0,,False,7,,14.2,0.4315,519.0,LongMidRange,2,525.0,OffShortMidRangeMiss,NYL,08:39,,-69,124,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661313__b6e7fcde,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661313,200,10,,,,,,False,1611661327,535.0,313,2026-05-12,1022600014,1627668-1627673-1629546-1631136-204335,False,PDX,1629524-1630143-1631083-1642296-1642304,,,,,,1611661313,3,Pauline Astier,1631136,3,09:24,0,,1629524,Bridget Carleton,0,,0,,False,7,,20.0,0.3293,538.0,LongMidRange,2,564.0,OffShortMidRangeMake,NYL,08:58,,-89,179,False,shots,4Q/OT | margin -3..3 | 300..120,team
