league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,0,,,,,,False,1611661328,30.4,632,2026-05-10,1022600007,1629568-1642800-1642817-1643449-203398,False,SEA,1631141-1641651-1642798-1643428-203828,,,,,,1611661323,4,Kennedy Burke,1629568,43,00:36,0,,0,,0,,0,,False,-7,,24.4,0.2373,33.4,Arc3,3,36.2,OffTimeout,CON,00:33,,88,228
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,1,,,,,,False,1611661328,80.0,595,2026-05-10,1022600007,1629568-1641649-1642800-1643449-203398,False,SEA,1629567-1631141-1642798-1643428-203828,,,,,,1611661323,4,Charlisse Leger-Walker,1643449,37,01:34,1642800,Aneesah Morrow,203828,Stefanie Dolson,0,,0,,False,-6,,24.1,0.3769,84.0,Arc3,3,94.0,OffArc3Miss,CON,01:24,,129,204
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,2,,,,,,False,1611661328,107.0,591,2026-05-10,1022600007,1629568-1641649-1642800-1643449-203398,False,SEA,1629567-1631141-1642798-1643428-203828,,,,,,1611661323,4,Charlisse Leger-Walker,1643449,35,01:57,0,,0,,0,,0,,False,-6,,4.6,0.3273,109.0,ShortMidRange,2,117.0,OffFTMake,CON,01:49,,16,43
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,3,,,,,,False,1611661328,163.0,576,2026-05-10,1022600007,1629568-1641649-1642800-1643449-203398,False,SEA,1628882-1629567-1642798-1643428-203828,Aneesah Morrow,1642800.0,Aneesah Morrow,1642800.0,Arc3,1611661323,4,Brittney Griner,203398,31,03:12,0,,1628882,Lexie Brown,0,,0,,False,-3,9.0,10.1,0.4201,165.0,ShortMidRange,2,192.0,OffAtRimMake,CON,02:45,,26,98
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,4,,,,,,False,1611661328,163.0,574,2026-05-10,1022600007,1629568-1641649-1642800-1643449-203398,False,SEA,1628882-1629567-1642798-1643428-203828,,,,,,1611661323,4,Aneesah Morrow,1642800,31,03:12,0,,1628882,Lexie Brown,0,,0,,False,-3,,24.8,0.3494,176.0,Arc3,3,192.0,OffAtRimMake,CON,02:56,,202,144
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,5,,,,,,False,1611661328,268.0,564,2026-05-10,1022600007,1629568-1641649-1642800-1643449-203398,False,SEA,1628882-1629567-1642798-1643428-203828,,,,,,1611661323,4,Brittney Griner,203398,25,04:51,1629568,Kennedy Burke,1629567,Natisha Hiedeman,0,,0,,False,-2,,8.1,0.3394,272.0,ShortMidRange,2,291.0,OffArc3Miss,CON,04:32,,71,38
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,6,,,,,,False,1611661328,383.0,538,2026-05-10,1022600007,1629568-1641649-1642800-1643449-203398,False,SEA,1628882-1629567-1642307-1642798-1643428,,,,,,1611661323,4,Aneesah Morrow,1642800,17,06:34,0,,1642798,Dominique Malonga,0,,0,,False,-4,,24.1,0.372,385.0,Arc3,3,394.0,OffAtRimMake,CON,06:25,,165,176
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,7,,,,,,False,1611661328,55.7,473,2026-05-10,1022600007,1629568-1631135-1641649-1642800-1642817,False,SEA,1628882-1631141-1641651-1641660-1642307,,,,,,1611661323,3,Kennedy Burke,1629568,38,01:03,1641649,Diamond Miller,1641660,Zia Cooke,0,,0,,False,-4,,25.5,0.3633,57.5,Arc3,3,63.0,OffCorner3Miss,CON,00:57,,-127,221
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,8,,,,,,False,1611661328,282.0,422,2026-05-10,1022600007,1641649-1642800-1642809-1642817-203398,False,SEA,1628882-1631141-1642307-1642798-1643428,,,,,,1611661323,3,Hailey Van Lith,1642817,24,04:57,0,,1628882,Lexie Brown,0,,0,,False,0,,9.3,0.4018,284.0,ShortMidRange,2,297.0,OffArc3Make,CON,04:44,,-77,52
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,9,,,,,,False,1611661328,305.0,418,2026-05-10,1022600007,1641649-1642800-1642809-1642817-203398,False,SEA,1628882-1631141-1642307-1642798-1643428,,0.0,Diamond Miller,1641649.0,TeamBlocked,1611661323,3,Diamond Miller,1641649,22,05:31,0,,0,,0,,0,,False,3,7.0,24.3,0.3104,310.0,Arc3,3,331.0,OffFTMake,CON,05:10,,38,240
wnba,wnba_current_season_shot_pace,shot_pace,shots,get-shots,2026,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2026', 'SeasonType': 'Regular Season', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2026__season_type-Regular_Season__entity_id-1611661323__107cbc8a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2026&SeasonType=Regular+Season&EntityId=1611661323,200,10,,,,,,False,1611661328,409.0,388,2026-05-10,1022600007,1629568-1641649-1642809-1643449-203398,False,SEA,1628882-1629567-1642307-1642798-1643428,Brittney Griner,203398.0,Brittney Griner,203398.0,AtRim,1611661323,3,Saniya Rivers,1642809,14,07:13,0,,0,,0,,0,,False,3,8.0,24.7,0.4052,413.0,Arc3,3,433.0,OffDeadball,CON,06:53,,187,161
