season,player_name,player_team,player_age,player_height_raw,Weight,player_college,player_country,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
2025,A'ja Wilson,LVA,29,6-4,195,South Carolina,USA,40,23.4,10.2,3.1,11.7,7.40%,24.90%,30.70%,59.60%,18.70%
2025,Aaliyah Edwards,CON,23,6-3,-,Connecticut,Canada,36,5.4,3.7,0.6,-9.1,8.60%,17.50%,18.80%,50.40%,7.20%
2025,Aaliyah Nye,LVA,23,6-0,-,Alabama,USA,44,3.8,1.5,0.5,-1.8,2.20%,7.70%,13.20%,47.30%,5.90%
2025,Aari McDonald,IND,27,5-6,141,Arizona,USA,20,9.8,2.4,4.7,3.6,1.70%,7.90%,18.20%,55.50%,27.90%
2025,Aerial Powers,IND,32,5-11,170,Michigan State,USA,10,7.4,3.9,2,15.3,5.60%,18.80%,21.40%,50.40%,19.20%
2025,Ajae Petty,DAL,23,6-2,190,Ohio State,USA,2,0,0.5,0,-21.4,0.00%,12.50%,0.00%,0.00%,0.00%
2025,Alanna Smith,MIN,29,6-4,177,Stanford,Australia,42,9.6,5.1,2.9,11.6,6.20%,13.60%,17.20%,56.30%,16.20%
2025,Alexis Prince,PHX,32,6-2,178,Baylor,USA,1,2,8,1,13.1,0.00%,32.00%,12.50%,33.30%,7.10%
2025,Alissa Pili,LAS,24,5-11,235,Utah,USA,19,2.3,1,0.2,5.3,4.40%,14.30%,18.20%,62.10%,6.00%
2025,Aliyah Boston,IND,24,6-5,220,South Carolina,USA,44,15,8.2,3.7,7.3,8.40%,20.00%,21.50%,58.00%,20.40%
2025,Allisha Gray,ATL,31,6-0,167,South Carolina,USA,42,18.4,5.3,3.5,9.2,2.50%,12.90%,21.60%,59.80%,17.30%
2025,Alysha Clark,WAS,38,5-11,167,Middle Tennessee,USA,42,3.9,2.8,1.2,-10.1,2.00%,12.70%,10.40%,47.80%,9.70%
2025,Alyssa Thomas,PHX,34,6-2,203,Maryland,USA,39,15.4,8.8,9.2,8.2,5.20%,23.00%,23.80%,56.80%,50.20%
2025,Amy Okonkwo,DAL,29,6-2,-,Texas Christian,USA,8,11,3.1,0.8,-6.8,4.20%,12.70%,20.70%,63.00%,6.50%
2025,Anastasiia Olairi Kosu,MIN,21,6-1,190,None,Russia,21,1.7,0.7,0.2,17.2,13.30%,6.50%,21.70%,49.20%,10.20%
2025,Aneesah Morrow,CON,23,6-1,-,Louisiana State,,41,7.7,6.9,0.5,-9.1,9.90%,26.50%,21.20%,46.10%,4.90%
2025,Angel Reese,CHI,24,6-3,165,Louisiana State,USA,30,14.7,12.6,3.7,-10.3,12.90%,26.10%,23.30%,53.70%,20.60%
2025,Ariel Atkins,CHI,29,5-10,167,Texas-Austin,USA,34,13.1,3.4,3.6,-8.7,2.40%,9.30%,21.60%,55.10%,21.80%
2025,Arike Ogunbowale,DAL,29,5-8,165,Notre Dame,USA,29,15.5,2.5,4.1,-5.9,1.00%,6.60%,22.10%,49.40%,21.10%
2025,Aziaha James,DAL,23,5-10,-,North Carolina State,USA,38,7.5,2.9,1.6,-9.3,4.80%,11.90%,21.10%,46.20%,14.90%
2025,Azura Stevens,LAS,30,6-6,180,Connecticut,USA,44,12.8,8,2.1,-3.8,6.20%,22.80%,18.70%,59.60%,12.40%
2025,Breanna Stewart,NYL,31,6-4,170,Connecticut,USA,31,18.3,6.5,3.5,10.4,3.50%,16.80%,26.10%,57.00%,20.90%
